,date,ratio (t-3),negatives (t-3),negatives (t-4),negatives (t-6),negatives (t-1),positives (t-3),label
110,2018-11-21,0.0,0.0,0.0,7.0,3.0,0.0,0
111,2018-11-20,0.0,0.0,2.0,1.0,9.0,0.0,0
112,2018-11-19,0.3333333333333333,2.0,7.0,3.0,0.0,1.0,0
113,2018-11-16,0.0,3.0,1.0,0.0,7.0,0.0,1
114,2018-11-15,0.5,1.0,0.0,2.0,1.0,1.0,1
115,2018-11-14,0.0,0.0,0.0,2.0,3.0,0.0,1
116,2018-11-13,0.0,0.0,2.0,5.0,1.0,0.0,1
117,2018-11-12,0.5,2.0,2.0,3.0,0.0,2.0,0
118,2018-11-09,0.0,3.0,3.0,0.0,2.0,0.0,0
119,2018-11-08,0.5,3.0,0.0,3.0,5.0,3.0,1
120,2018-11-07,0.0,0.0,0.0,5.0,3.0,0.0,1
121,2018-11-06,0.0,0.0,3.0,4.0,3.0,0.0,0
122,2018-11-05,0.5,3.0,5.0,13.0,0.0,3.0,0
123,2018-11-02,0.43478260869565216,13.0,10.0,0.0,5.0,10.0,1
124,2018-11-01,0.4117647058823529,10.0,0.0,21.0,4.0,7.0,1
125,2018-10-31,0.0,0.0,0.0,10.0,13.0,0.0,1
126,2018-10-30,0.0,0.0,21.0,17.0,10.0,0.0,0
127,2018-10-29,0.4,21.0,10.0,12.0,0.0,14.0,1
128,2018-10-26,0.42857142857142855,12.0,13.0,0.0,10.0,9.0,1
129,2018-10-25,0.1875,13.0,0.0,11.0,17.0,3.0,1
130,2018-10-24,0.0,0.0,0.0,11.0,12.0,0.0,0
131,2018-10-23,0.0,0.0,11.0,10.0,13.0,0.0,1
132,2018-10-22,0.3888888888888889,11.0,11.0,3.0,0.0,7.0,1
133,2018-10-19,0.75,3.0,4.0,0.0,11.0,9.0,0
134,2018-10-18,0.3333333333333333,4.0,0.0,9.0,10.0,2.0,0
135,2018-10-17,0.0,0.0,0.0,13.0,3.0,0.0,0
136,2018-10-16,0.0,0.0,9.0,11.0,4.0,0.0,1
137,2018-10-15,0.4375,9.0,13.0,11.0,0.0,7.0,1
138,2018-10-12,0.3125,11.0,26.0,0.0,13.0,5.0,1
139,2018-10-11,0.2571428571428571,26.0,0.0,18.0,11.0,9.0,0
140,2018-10-10,0.0,0.0,0.0,6.0,11.0,0.0,0
141,2018-10-09,0.0,0.0,18.0,5.0,26.0,0.0,1
142,2018-10-08,0.3333333333333333,18.0,6.0,12.0,0.0,9.0,0
143,2018-10-05,0.4545454545454545,12.0,24.0,0.0,6.0,10.0,0
144,2018-10-04,0.3684210526315789,24.0,0.0,29.0,5.0,14.0,0
145,2018-10-03,0.0,0.0,0.0,15.0,12.0,0.0,0
146,2018-10-02,0.0,0.0,29.0,5.0,24.0,0.0,0
147,2018-10-01,0.32558139534883723,29.0,15.0,3.0,0.0,14.0,1
148,2018-09-28,0.4,3.0,2.0,0.0,15.0,2.0,0
149,2018-09-27,0.5,2.0,0.0,3.0,5.0,2.0,0
150,2018-09-26,0.0,0.0,0.0,6.0,3.0,0.0,1
151,2018-09-25,0.0,0.0,3.0,5.0,2.0,0.0,1
152,2018-09-24,0.4,3.0,6.0,9.0,0.0,2.0,1
153,2018-09-21,0.625,9.0,3.0,0.0,6.0,15.0,1
154,2018-09-20,0.5,3.0,0.0,7.0,5.0,3.0,0
155,2018-09-19,0.0,0.0,0.0,3.0,9.0,0.0,1
156,2018-09-18,0.0,0.0,7.0,10.0,3.0,0.0,0
157,2018-09-17,0.4615384615384616,7.0,3.0,5.0,0.0,6.0,0
158,2018-09-14,0.4444444444444444,5.0,14.0,0.0,3.0,4.0,1
159,2018-09-13,0.44,14.0,0.0,15.0,10.0,11.0,0
160,2018-09-12,0.0,0.0,0.0,4.0,5.0,0.0,1
161,2018-09-11,0.0,0.0,15.0,4.0,14.0,0.0,0
162,2018-09-10,0.2857142857142857,15.0,4.0,8.0,0.0,6.0,1
163,2018-09-07,0.4666666666666667,8.0,0.0,0.0,4.0,7.0,0
164,2018-09-06,0.0,0.0,0.0,2.0,4.0,0.0,1
165,2018-09-05,0.0,0.0,0.0,3.0,8.0,0.0,0
166,2018-09-04,0.0,0.0,2.0,9.0,0.0,0.0,0
167,2018-08-31,0.3125,11.0,10.0,0.0,3.0,5.0,0
168,2018-08-30,0.375,10.0,0.0,1.0,9.0,6.0,0
169,2018-08-29,0.0,0.0,0.0,3.0,11.0,0.0,0
170,2018-08-28,0.0,0.0,1.0,5.0,10.0,0.0,0
171,2018-08-27,0.5,1.0,3.0,13.0,0.0,1.0,0
172,2018-08-24,0.07142857142857142,13.0,9.0,0.0,3.0,1.0,1
173,2018-08-23,0.3076923076923077,9.0,0.0,18.0,5.0,4.0,0
174,2018-08-22,0.0,0.0,0.0,4.0,13.0,0.0,0
175,2018-08-21,0.0,0.0,18.0,5.0,9.0,0.0,1
176,2018-08-20,0.28,18.0,4.0,8.0,0.0,7.0,1
177,2018-08-17,0.2,8.0,7.0,0.0,4.0,2.0,0
178,2018-08-16,0.3636363636363637,7.0,0.0,10.0,5.0,4.0,0
179,2018-08-15,0.0,0.0,0.0,19.0,8.0,0.0,0
180,2018-08-14,0.0,0.0,10.0,10.0,7.0,0.0,0
181,2018-08-13,0.2857142857142857,10.0,19.0,21.0,0.0,4.0,1
182,2018-08-10,0.4,21.0,2.0,0.0,19.0,14.0,1
183,2018-08-09,0.6,2.0,0.0,3.0,10.0,3.0,0
184,2018-08-08,0.0,0.0,0.0,16.0,21.0,0.0,0
185,2018-08-07,0.0,0.0,3.0,7.0,2.0,0.0,1
186,2018-08-06,0.5,3.0,16.0,1.0,0.0,3.0,0
187,2018-08-03,0.6666666666666666,1.0,5.0,0.0,16.0,2.0,0
188,2018-08-02,0.0,5.0,0.0,3.0,7.0,0.0,1
189,2018-08-01,0.0,0.0,0.0,0.0,1.0,0.0,1
190,2018-07-31,0.0,0.0,3.0,0.0,5.0,0.0,1
191,2018-07-30,0.25,3.0,0.0,1.0,0.0,1.0,0
192,2018-07-27,0.75,1.0,4.0,0.0,0.0,3.0,0
193,2018-07-26,0.0,4.0,0.0,0.0,0.0,0.0,0
194,2018-07-25,0.0,0.0,0.0,1.0,1.0,0.0,1
195,2018-07-24,0.0,0.0,0.0,0.0,4.0,0.0,0
196,2018-07-23,1.0,0.0,1.0,1.0,0.0,1.0,0
197,2018-07-20,0.75,1.0,1.0,0.0,1.0,3.0,0
198,2018-07-19,0.75,1.0,0.0,2.0,0.0,3.0,0
199,2018-07-18,0.0,0.0,0.0,2.0,1.0,0.0,1
200,2018-07-17,0.0,0.0,2.0,2.0,1.0,0.0,1
201,2018-07-16,0.3333333333333333,2.0,2.0,2.0,0.0,1.0,0
202,2018-07-13,0.5,2.0,1.0,0.0,2.0,2.0,1
203,2018-07-12,0.5,1.0,0.0,1.0,2.0,1.0,0
204,2018-07-11,0.0,0.0,0.0,5.0,2.0,0.0,0
205,2018-07-10,0.0,0.0,1.0,0.0,1.0,0.0,1
206,2018-07-09,0.5,1.0,5.0,10.0,0.0,1.0,1
207,2018-07-06,0.16666666666666666,10.0,12.0,0.0,5.0,2.0,0
208,2018-07-05,0.4545454545454545,12.0,0.0,0.0,0.0,10.0,0
209,2018-07-03,0.0,0.0,0.0,2.0,12.0,0.0,0
210,2018-07-02,1.0,0.0,2.0,1.0,0.0,1.0,0
211,2018-06-29,0.6666666666666666,1.0,3.0,0.0,2.0,2.0,0
212,2018-06-28,0.4,3.0,0.0,7.0,2.0,2.0,1
213,2018-06-27,0.0,0.0,0.0,5.0,1.0,0.0,1
214,2018-06-26,0.0,0.0,7.0,5.0,3.0,0.0,1
215,2018-06-25,0.0,7.0,5.0,7.0,0.0,0.0,0
216,2018-06-22,0.4166666666666667,7.0,15.0,0.0,5.0,5.0,0
217,2018-06-21,0.2857142857142857,15.0,0.0,8.0,5.0,6.0,0
218,2018-06-20,0.0,0.0,0.0,11.0,7.0,0.0,1
219,2018-06-19,0.0,0.0,8.0,3.0,15.0,0.0,0
220,2018-06-18,0.2727272727272727,8.0,11.0,5.0,0.0,3.0,1
221,2018-06-15,0.4444444444444444,5.0,7.0,0.0,11.0,4.0,1
222,2018-06-14,0.3,7.0,0.0,1.0,3.0,3.0,1
223,2018-06-13,0.0,0.0,0.0,9.0,5.0,0.0,1
224,2018-06-12,0.0,0.0,1.0,10.0,7.0,0.0,1
225,2018-06-11,0.5,1.0,9.0,2.0,0.0,1.0,1
226,2018-06-08,0.3333333333333333,2.0,0.0,0.0,9.0,1.0,1
227,2018-06-07,1.0,0.0,0.0,1.0,10.0,1.0,0
228,2018-06-06,0.0,0.0,0.0,1.0,2.0,0.0,1
229,2018-06-05,0.0,0.0,1.0,0.0,0.0,0.0,0
230,2018-06-04,0.0,1.0,1.0,0.0,0.0,0.0,1
231,2018-06-01,0.0,0.0,0.0,0.0,1.0,0.0,1
232,2018-05-31,0.0,0.0,0.0,1.0,0.0,0.0,0
233,2018-05-30,0.0,0.0,0.0,0.0,0.0,0.0,1
234,2018-05-29,0.0,0.0,1.0,1.0,0.0,0.0,1
235,2018-05-25,0.0,4.0,2.0,0.0,0.0,0.0,1
236,2018-05-24,0.6,2.0,0.0,3.0,1.0,3.0,0
237,2018-05-23,0.0,0.0,0.0,4.0,4.0,0.0,1
238,2018-05-22,0.0,0.0,3.0,7.0,2.0,0.0,0
239,2018-05-21,0.5,3.0,4.0,4.0,0.0,3.0,1
240,2018-05-18,0.2,4.0,2.0,0.0,4.0,1.0,0
241,2018-05-17,0.0,2.0,0.0,1.0,7.0,0.0,0
242,2018-05-16,0.0,0.0,0.0,3.0,4.0,0.0,1
243,2018-05-15,0.0,0.0,1.0,0.0,2.0,0.0,0
244,2018-05-14,0.5,1.0,3.0,0.0,0.0,1.0,0
245,2018-05-11,0.0,0.0,0.0,0.0,3.0,0.0,0
246,2018-05-10,1.0,0.0,0.0,1.0,0.0,1.0,0
247,2018-05-09,0.0,0.0,0.0,9.0,0.0,0.0,1
248,2018-05-08,0.0,0.0,1.0,13.0,0.0,0.0,0
249,2018-05-07,0.0,1.0,9.0,3.0,0.0,0.0,1
250,2018-05-04,0.25,3.0,2.0,0.0,9.0,1.0,1
251,2018-05-03,0.0,2.0,0.0,0.0,13.0,0.0,0
252,2018-05-02,0.0,0.0,0.0,1.0,3.0,0.0,1
253,2018-05-01,0.0,0.0,0.0,0.0,2.0,0.0,1
254,2018-04-30,0.0,0.0,1.0,4.0,0.0,0.0,0
255,2018-04-27,0.2,4.0,4.0,0.0,1.0,1.0,1
256,2018-04-26,0.2,4.0,0.0,2.0,0.0,1.0,1
257,2018-04-25,0.0,0.0,0.0,1.0,4.0,0.0,0
258,2018-04-24,0.0,0.0,2.0,0.0,4.0,0.0,1
259,2018-04-23,0.3333333333333333,2.0,1.0,2.0,0.0,1.0,0
260,2018-04-20,0.6,2.0,5.0,0.0,1.0,3.0,0
261,2018-04-19,0.2857142857142857,5.0,0.0,0.0,0.0,2.0,1
262,2018-04-18,0.0,0.0,0.0,0.0,2.0,0.0,1
263,2018-04-17,0.0,0.0,0.0,0.0,5.0,0.0,0
264,2018-04-16,1.0,0.0,0.0,2.0,0.0,1.0,0
265,2018-04-13,0.3333333333333333,2.0,3.0,0.0,0.0,1.0,1
266,2018-04-12,0.25,3.0,0.0,4.0,0.0,1.0,0
267,2018-04-11,0.0,0.0,0.0,6.0,2.0,0.0,0
268,2018-04-10,0.0,0.0,4.0,6.0,3.0,0.0,1
269,2018-04-09,0.5,4.0,6.0,1.0,0.0,4.0,0
270,2018-04-06,0.75,1.0,3.0,0.0,6.0,3.0,0
271,2018-04-05,0.25,3.0,0.0,0.0,6.0,1.0,1
272,2018-04-04,0.0,0.0,0.0,8.0,1.0,0.0,1
273,2018-04-03,0.0,0.0,0.0,9.0,3.0,0.0,1
274,2018-04-02,0.0,0.0,8.0,14.0,0.0,0.0,0
275,2018-03-29,0.0,3.0,0.0,3.0,9.0,0.0,1
276,2018-03-28,0.0,0.0,0.0,1.0,14.0,0.0,0
277,2018-03-27,0.0,0.0,3.0,3.0,3.0,0.0,0
278,2018-03-26,0.0,3.0,1.0,2.0,0.0,0.0,1
279,2018-03-23,0.3333333333333333,2.0,4.0,0.0,1.0,1.0,0
280,2018-03-22,0.0,4.0,0.0,2.0,3.0,0.0,0
281,2018-03-21,0.0,0.0,0.0,3.0,2.0,0.0,1
282,2018-03-20,0.0,0.0,2.0,2.0,4.0,0.0,0
283,2018-03-19,0.3333333333333333,2.0,3.0,0.0,0.0,1.0,0
284,2018-03-16,0.0,0.0,3.0,0.0,3.0,0.0,0
285,2018-03-15,0.0,3.0,0.0,1.0,2.0,0.0,0
286,2018-03-14,0.0,0.0,0.0,3.0,0.0,0.0,0
287,2018-03-13,0.0,0.0,1.0,2.0,3.0,0.0,0
288,2018-03-12,0.5,1.0,3.0,2.0,0.0,1.0,1
289,2018-03-09,0.0,2.0,3.0,0.0,3.0,0.0,0
290,2018-03-08,0.0,3.0,0.0,0.0,2.0,0.0,0
291,2018-03-07,0.0,0.0,0.0,2.0,2.0,0.0,1
292,2018-03-06,0.0,0.0,0.0,2.0,3.0,0.0,0
